MOFname,CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_P0.15bar_T298K [kcal/mol],excess_CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_error_P0.10bar_T363K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_error_CO2_P0.10bar_T363K [kcal/mol],excess_CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.70bar_T413K [mmol/g],CO2_uptake_error_P0.70bar_T413K [mmol/g],heat_adsorption_CO2_P0.70bar_T413K [kcal/mol],heat_adsorption_error_CO2_P0.70bar_T413K [kcal/mol],excess_CO2_uptake_P0.70bar_T413K [mmol/g],working_capacity_vacuum_swing [mmol/g],working_capacity_temperature_swing [mmol/g],CO2_binary_uptake_P0.15bar_T298K [mmol/g],CO2_binary_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_binary_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_binary_P0.15bar_T298K [kcal/mol],excess_CO2_binary_uptake_P0.15bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_error_P0.85bar_T298K [mmol/g],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_error_N2_binary_P0.85bar_T298K [kcal/mol],excess_N2_binary_uptake_P0.85bar_T298K [mmol/g],CO2/N2_selectivity,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],largest_free_sphere_diameter(PLD)[A],largest_included_sphere_along_free_sphere_path_diameter(LCD)[A],largest_included_sphere_diameter(GLD)[A],functional_groups,metal_linker,organic_linker1,organic_linker2,topology
str_m5_o5_o13_sra_sym.46,2.672001,0.557254,7.203869,2.757775,2.672001,0.339991,0.054321,8.585931,2.513064,0.339991,0.610835,0.11683,8.686508,3.008857,0.610835,2.33201,2.061166,2.181934,0.680693,8.082264,4.673322,2.181934,0.133833,0.041751,4.902382,2.689282,0.133833,82.60393376,1603.284003,1096.40192,0,0.09303,0.0819,3.57088,3.02177,3.56328,OH-Et,9,5,13,sra
str_m2_o16_o18_pcu_sym.166,2.559129,0.013805,7.063398,0.117874,2.558865,0.227166,0.035556,6.704254,1.872871,0.227022,0.536517,0.130385,6.450367,2.736251,0.535628,2.331963,2.022612,2.207583,0.057413,7.461888,0.580722,2.207319,0.202704,0.00729,4.263499,0.387865,0.201594,55.17941037,1946.176243,1374.24176,822.41,0.15846,0.1351,6.51493,4.57235,6.51493,SO3H-OEt,2,16,18,pcu
str_m3_o10_o17_pcu_sym.171,2.582026,0.990845,7.193281,5.066301,2.581944,0.250461,0.03252,7.006923,1.632226,0.250417,0.462406,0.091247,6.967897,2.426059,0.462131,2.331565,2.11962,2.755932,0.990813,8.004905,5.330039,2.75585,0.23459,0.08434,4.201537,2.595266,0.234363,59.52252355,986.96665,619.2056,819.44,0.14889,0.1429,4.4737,3.44285,4.47328,Et,3,10,17,pcu
str_m5_o2_o18_sra_sym.68,3.664299,0.001695,10.698657,0.042228,3.664299,1.332792,0.491038,9.600852,6.542914,1.332792,1.482785,0.542475,9.453201,6.316368,1.482785,2.331507,2.181514,3.332939,0.125129,10.728572,1.264153,3.332939,0.064633,0.000802,5.243845,2.660068,0.064633,261.2735125,2133.504589,1524.84808,0,0.06998,0.059,3.67768,1.97705,3.67766,CN,9,2,18,sra
str_m3_o41_o41_fof_sym.52,2.733173,0.059224,6.571468,0.41884,2.732541,0.401855,0.080506,7.024025,2.525307,0.40151,0.74041,0.219918,6.725411,3.507645,0.738282,2.331318,1.992763,2.961425,0.025975,6.97795,0.210057,2.960793,0.287044,0.010197,3.963529,0.278096,0.284167,52.27265971,3830.428149,2571.56592,1222.21,0.24754,0.222,9.30621,3.7155,9.30621,NO2,3,41,41,fof
str_m2_o10_o14_pcu_sym.161,2.546259,0.862031,8.16341,5.126444,2.546259,0.215199,0.025724,7.420637,1.601614,0.215199,0.459787,0.079357,7.605848,2.342152,0.459787,2.33106,2.086472,2.275949,0.474657,8.217864,3.180719,2.275949,0.113417,0.023653,4.542357,1.647641,0.113417,101.6732495,676.214655,499.37778,0,0.11749,0.0958,3.81223,2.85759,3.81223,Me,2,10,14,pcu
str_m3_o1_o9_pcu_sym.75,2.5841,0.027474,7.317858,0.228967,2.583789,0.253085,0.031996,6.446684,1.447623,0.252915,0.64347,0.171418,6.596296,3.077188,0.642421,2.331015,1.94063,2.698259,0.029754,7.456335,0.244362,2.697947,0.277444,0.0018,4.327885,0.088445,0.276167,49.27545354,1128.447987,747.29,1124.79,0.17464,0.1588,5.1736,4.28829,5.1736,HCO,3,1,9,pcu
str_m3_o10_o29_pcu_sym.219,2.576075,0.988561,7.169643,5.048159,2.575999,0.245062,0.023251,7.135892,1.217188,0.245021,0.733501,0.138044,7.563372,2.537919,0.733246,2.331013,1.842574,2.553197,0.941164,7.219267,4.88577,2.553122,0.171319,0.063152,4.786662,3.092348,0.171097,75.50941888,1871.159132,1179.649539,726.92,0.13793,0.1318,4.48766,3.52519,4.47182,Pr-F,3,10,29,pcu
str_m5_o18_o18_sra_sym.70,2.752235,0.001786,7.19587,0.017354,2.752235,0.421241,0.090595,8.187115,3.211288,0.421241,0.50822,0.09408,7.296994,2.397726,0.50822,2.330994,2.244015,2.095011,0.037478,8.019807,0.434427,2.095011,0.335966,0.008854,4.808538,0.332576,0.335966,31.59463279,2547.587626,1668.851306,0,0.11349,0.1043,4.39294,3.36231,4.39276,F,9,18,18,sra
str_m5_o11_o17_sra_sym.184,2.690693,0.011909,7.061085,0.086435,2.690435,0.360023,0.068859,8.05414,2.804968,0.359881,0.485004,0.127985,6.486724,2.99035,0.484135,2.33067,2.205689,2.336767,0.049053,6.592146,0.416248,2.336509,0.208595,0.000615,4.01489,0.105079,0.207596,56.75888428,2369.201184,1352.82908,1044.77,0.17038,0.1797,5.46361,4.6083,5.46361,OPr-Et,9,11,17,sra
