MOFname,CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_P0.15bar_T298K [kcal/mol],excess_CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_error_P0.10bar_T363K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_error_CO2_P0.10bar_T363K [kcal/mol],excess_CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.70bar_T413K [mmol/g],CO2_uptake_error_P0.70bar_T413K [mmol/g],heat_adsorption_CO2_P0.70bar_T413K [kcal/mol],heat_adsorption_error_CO2_P0.70bar_T413K [kcal/mol],excess_CO2_uptake_P0.70bar_T413K [mmol/g],working_capacity_vacuum_swing [mmol/g],working_capacity_temperature_swing [mmol/g],CO2_binary_uptake_P0.15bar_T298K [mmol/g],CO2_binary_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_binary_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_binary_P0.15bar_T298K [kcal/mol],excess_CO2_binary_uptake_P0.15bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_error_P0.85bar_T298K [mmol/g],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_error_N2_binary_P0.85bar_T298K [kcal/mol],excess_N2_binary_uptake_P0.85bar_T298K [mmol/g],CO2/N2_selectivity,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],largest_free_sphere_diameter(PLD)[A],largest_included_sphere_along_free_sphere_path_diameter(LCD)[A],largest_included_sphere_diameter(GLD)[A],functional_groups,metal_linker,organic_linker1,organic_linker2,topology
str_m5_o16_o16_sra_sym.77,5.955197,0.117622,9.223227,0.546586,5.955127,0.840043,0.295803,7.972884,5.106942,0.840004,1.496286,0.575907,8.155453,5.646149,1.496049,5.115154,4.458911,5.220817,0.226057,9.057156,1.171093,5.220747,0.240941,0.029948,4.978045,1.516875,0.240728,109.7867921,2473.186302,1493.01184,613.3,0.14835,0.148,4.6137,3.78047,4.6137,Pr,9,16,16,sra
str_m5_o13_o18_sra_sym.149,5.524486,0.155094,8.674098,0.753841,5.524486,0.688965,0.191963,7.546794,3.803472,0.688965,1.210915,0.455165,7.71165,5.180397,1.210915,4.835521,4.313571,5.428172,0.076495,7.547253,0.319204,5.428172,0.194073,0.019983,4.474539,2.182381,0.194073,141.7133663,2514.627698,1504.68312,0,0.1798,0.181,4.24711,3.26179,4.24603,NO2,9,13,18,sra
str_m5_o16_o16_sra_sym.37,5.715251,0.034598,8.391884,0.149962,5.715251,0.901656,0.283054,8.343676,4.785696,0.901656,1.310869,0.504193,7.9817,5.508588,1.310869,4.813595,4.404382,5.286735,0.28315,9.167069,1.464589,5.286735,0.211381,0.026293,5.487318,7.237856,0.211381,126.7196389,2419.885159,1444.7968,0,0.16099,0.1624,4.1021,3.39756,4.10055,OMe,9,16,16,sra
str_m5_o10_o29_sra_sym.33,5.295262,0.137719,7.648834,0.59109,5.294858,0.64009,0.153825,7.039756,3.036856,0.639869,1.164364,0.363162,6.758703,3.704084,1.163006,4.655172,4.130898,5.212502,0.299858,8.510197,1.527785,5.212098,0.316897,0.038624,4.825069,2.55356,0.315324,83.33941354,3445.359928,1932.95088,1890.74,0.23881,0.2563,5.84914,4.52538,5.49398,NO2,9,10,29,sra
str_m5_o16_o16_sra_sym.31,5.451593,0.051989,8.711414,0.260774,5.451476,0.797098,0.254966,8.247735,4.814885,0.797034,1.627107,0.582124,8.482574,5.482311,1.626713,4.654495,3.824486,5.323548,0.161734,9.274585,0.88043,5.323431,0.264817,0.022087,4.881124,0.918682,0.264817,101.8538961,2415.251225,1436.90552,1347.04,0.15634,0.1583,4.37077,3.49681,4.16451,Et,9,16,16,sra
str_m5_o10_o29_sra_sym.35,5.156672,0.009645,6.629165,0.060935,5.156178,0.532889,0.065539,6.792227,1.493294,0.532619,1.323897,0.355978,7.318015,3.494068,1.322236,4.623783,3.832775,4.584183,0.029318,6.487361,0.099352,4.58369,0.345834,0.00318,3.84495,0.10035,0.343853,67.16091304,3441.66214,1813.0192,2069.11,0.25127,0.2872,5.88142,4.72918,5.39206,NH2,9,10,29,sra
str_m3_o10_o29_pcu_sym.108,5.116552,0.046213,8.767937,0.251378,5.11648,0.647612,0.150301,7.972073,3.365569,0.647572,1.123475,0.304859,7.509684,3.630156,1.123232,4.46894,3.993077,3.95535,0.113156,8.272317,0.714725,3.955278,0.279016,0.011596,4.793316,0.516653,0.279016,71.82541503,1820.509911,1075.56628,932.2,0.15198,0.1549,4.28048,3.31719,4.13111,Pr-COOH,3,10,29,pcu
str_m2_o10_o29_pcu_sym.146,5.04992,0.022572,7.135096,0.090932,5.049353,0.65151,0.112447,7.044624,2.182722,0.651199,1.419174,0.430775,6.964922,3.730017,1.417264,4.39841,3.630746,4.338569,0.00663,7.150876,0.037459,4.338002,0.483151,0.003592,4.42827,0.082491,0.480875,45.49733506,1737.740276,899.7198,2331.61,0.26809,0.3118,5.50668,5.1096,5.50668,H,2,10,29,pcu
str_m2_o10_o29_pcu_sym.228,5.084852,0.03253,7.470089,0.140201,5.084443,0.688221,0.141972,6.996363,2.588919,0.687997,1.264899,0.300533,6.663633,2.776492,1.263521,4.396631,3.819953,4.499114,0.025831,7.053462,0.112028,4.498704,0.360474,0.017276,4.037421,0.382618,0.358912,63.23760086,1751.202514,949.73872,2074.92,0.23934,0.2658,5.36711,4.55893,5.36124,CN,2,10,29,pcu
str_m2_o10_o29_pcu_sym.90,4.967443,0.019995,7.03838,0.074245,4.967034,0.578571,0.108886,7.071526,2.390188,0.578348,1.511743,0.43885,6.889703,3.523584,1.510367,4.388872,3.4557,4.822348,0.003772,7.100525,0.020245,4.82194,0.34335,0.000597,4.166761,0.062512,0.341833,71.16129275,1738.962212,968.60992,2161.77,0.24673,0.2668,5.29433,4.23457,5.21959,Cl,2,10,29,pcu
str_m5_o10_o29_sra_sym.36,4.960352,0.027787,7.085019,0.086709,4.959789,0.578356,0.097983,6.315879,1.895612,0.578048,1.157115,0.393081,6.577054,3.910947,1.155219,4.381996,3.803237,4.712802,0.056134,6.995928,0.245919,4.712239,0.410234,0.022019,3.83322,0.515501,0.407924,58.20628422,3415.647705,1752.96064,2177.11,0.26269,0.3082,5.67893,5.19332,5.64576,H,9,10,29,sra
str_m5_o13_o18_sra_sym.51,5.152343,0.129212,8.321648,0.638768,5.152277,0.77131,0.24057,7.660313,4.328484,0.771274,1.327276,0.508866,7.683674,5.262393,1.327054,4.381033,3.825067,4.971585,0.030666,7.620104,0.138364,4.971519,0.153202,0.005661,4.502888,0.459379,0.153202,164.4192896,2509.252432,1504.68312,804.33,0.17229,0.173,4.17694,3.43789,4.17694,NO2,9,13,18,sra
str_m5_o10_o29_sra_sym.167,5.116132,0.033973,8.133683,0.141552,5.115717,0.745603,0.164645,7.170246,2.848101,0.745376,1.268838,0.359539,7.178107,3.602866,1.26744,4.370529,3.847294,4.434947,0.08909,6.386952,0.341462,4.434532,0.310339,0.008954,4.031829,0.236076,0.308628,72.40597583,3413.282948,1813.0192,1606.05,0.22651,0.2568,5.85488,5.14571,5.62164,NH2,9,10,29,sra
str_m2_o10_o29_pcu_sym.138,5.149628,0.181607,7.719653,0.841803,5.149314,0.78052,0.161012,7.140374,2.648335,0.780349,1.412087,0.41942,7.246084,3.816948,1.41103,4.369108,3.737541,4.783261,0.038782,6.947715,0.137318,4.782947,0.369486,0.020903,4.80058,0.917819,0.368392,65.59163017,1749.359794,955.82612,1900.69,0.21895,0.2413,5.0891,3.92709,5.0891,Me,2,10,29,pcu
str_m5_o1_o18_sra_sym.43,5.023836,0.04116,7.702728,0.188442,5.023694,0.656756,0.171645,7.279708,3.428076,0.656679,1.185181,0.41561,7.450372,4.649674,1.184705,4.36708,3.838655,4.649784,0.054988,8.064048,0.332028,4.649642,0.283584,0.009039,4.85217,0.633048,0.283584,83.07558113,2220.402358,1288.57312,1333.42,0.19161,0.1988,4.5203,3.42844,4.52027,OH,9,1,18,sra
str_m2_o10_o29_pcu_sym.44,5.114353,0.026964,7.113963,0.112319,5.11392,0.749023,0.14554,7.067206,2.466078,0.748787,1.410228,0.389538,7.008416,3.418374,1.408772,4.36533,3.704125,4.514905,0.035375,7.520094,0.176104,4.514473,0.40679,0.010033,4.221261,0.187441,0.405095,56.23422077,1746.984318,959.77176,2078.99,0.23691,0.2597,5.50949,5.14255,5.50949,OMe,2,10,29,pcu
str_m5_o10_o29_sra_sym.92,5.012602,0.072931,7.588295,0.335896,5.012236,0.652602,0.162083,6.674728,2.957213,0.652402,1.225548,0.382245,6.761913,3.706086,1.224316,4.36,3.787054,5.257114,0.197436,7.549605,0.818275,5.256748,0.28497,0.012232,4.212534,3.987781,0.283586,93.46964335,3425.101023,1873.06456,1757.01,0.22849,0.2516,5.73531,4.76135,5.62624,OMe,9,10,29,sra
str_m5_o10_o29_sra_sym.81,4.940126,0.07775,6.594212,0.289106,4.939559,0.621832,0.144318,7.272277,3.040745,0.621522,1.223872,0.319861,6.78272,3.116362,1.221965,4.318294,3.716254,4.945595,0.061144,6.803179,0.273659,4.945029,0.337348,0.019166,3.570466,1.110807,0.335027,74.27843453,3415.640961,1752.96064,2193.61,0.26277,0.3083,5.67064,5.19715,5.66264,H,9,10,29,sra
str_m5_o10_o29_sra_sym.59,5.011319,0.243364,7.642245,1.130992,5.010753,0.69364,0.147163,7.210053,2.753297,0.69333,1.17717,0.322309,6.841304,3.29687,1.175261,4.317679,3.834149,4.820219,0.067326,6.893709,0.295885,4.819652,0.358315,0.017373,3.825815,3.827227,0.356001,68.15914191,3415.669061,1752.96064,2174.73,0.26283,0.3084,5.6675,5.1934,5.65021,H,9,10,29,sra
str_m2_o10_o29_pcu_sym.173,4.938205,0.008344,7.67694,0.054252,4.938002,0.675777,0.1374,7.258808,2.658416,0.675665,1.188986,0.328426,7.354209,3.609406,1.188301,4.262428,3.749219,4.523069,0.049244,7.859418,0.268901,4.522866,0.264913,0.000276,4.685002,0.096948,0.264396,86.507204,1738.830206,1059.8462,1346.98,0.19599,0.1936,4.76118,3.51616,4.34083,SO3H,2,10,29,pcu
str_m5_o4_o18_sra_sym.55,5.182181,0.150736,8.339754,0.724442,5.182181,0.923805,0.305849,7.990033,4.812953,0.923805,1.557428,0.587657,8.108634,5.499832,1.557428,4.258376,3.624753,5.081086,0.067837,8.164226,0.340352,5.081086,0.210426,0.008844,4.817319,0.807356,0.210426,122.3430996,2178.743172,1304.70324,0,0.15824,0.1591,4.73191,3.1225,4.46314,Me,9,4,18,sra
str_m5_o10_o29_sra_sym.135,4.829045,0.059753,7.158008,0.258564,4.828718,0.581531,0.118238,6.854366,2.493952,0.581352,1.120897,0.376995,7.159023,4.263567,1.119795,4.247514,3.708148,4.710108,0.004771,6.777223,0.024493,4.709781,0.305244,0.019916,4.231987,0.727878,0.304048,78.18187155,3426.959982,1928.99864,1743.59,0.22239,0.2379,5.57444,4.23186,5.01379,COOH,9,10,29,sra
str_m5_o16_o16_sra_sym.47,4.653102,0.021072,7.664401,0.131592,4.653102,0.414461,0.079271,7.314102,2.521886,0.414461,0.870775,0.305357,7.71037,4.832022,0.870775,4.238641,3.782327,3.899461,0.278675,8.821075,1.936341,3.899461,0.280442,0.026901,5.116926,1.761871,0.280442,70.45046415,2430.22837,1500.73088,0,0.17027,0.166,4.40347,3.34238,4.40346,COOH-H,9,16,16,sra
str_m5_o16_o16_sra_sym.68,4.846755,0.136924,8.385386,0.724356,4.846601,0.64173,0.175705,7.555374,3.742304,0.641646,1.047696,0.352375,7.302193,4.359873,1.047178,4.205025,3.799059,4.089828,0.183127,7.952494,1.037613,4.089674,0.346528,0.026053,4.844023,1.052209,0.346156,59.79832856,2415.549974,1384.75144,1616.73,0.1935,0.2033,4.34417,3.58286,4.34417,NH2,9,16,16,sra
str_m5_o4_o18_sra_sym.96,5.026184,0.150731,8.049284,0.707099,5.026184,0.825687,0.287072,8.130466,5.151943,0.825687,1.314811,0.487116,8.090398,5.386598,1.314811,4.200497,3.711373,4.409641,0.278066,8.442015,1.530716,4.409641,0.198626,0.026994,5.073662,1.521518,0.198626,112.4836681,2181.46858,1336.70204,0,0.1499,0.1473,4.37658,3.09336,4.25004,OMe,9,4,18,sra
str_m2_o10_o29_pcu_sym.139,4.947634,0.045472,8.11539,0.220973,4.947398,0.755608,0.135173,8.160027,2.661456,0.755479,1.415129,0.447084,8.051003,4.568548,1.414336,4.192026,3.532505,4.238685,0.054423,8.462028,0.371046,4.238449,0.262653,0.014005,4.853456,0.868303,0.261748,81.76569085,1752.78206,1143.70764,1179.4,0.18342,0.1693,5.72925,4.22812,5.50946,OH-NO2,2,10,29,pcu
str_m5_o16_o16_sra_sym.32,4.604704,0.049345,7.069966,0.214248,4.60448,0.419567,0.092649,7.310784,2.910169,0.419444,1.090167,0.392754,7.628135,4.905014,1.089411,4.185137,3.514537,4.352865,0.279817,7.289674,1.339464,4.35264,0.266309,0.024457,4.083434,0.790126,0.265553,82.8155113,2465.323792,1380.7992,1486.69,0.20612,0.2216,5.41267,4.18066,5.36502,Me,9,16,16,sra
str_m5_o18_o18_sra_sym.38,4.860099,0.209732,8.320265,1.012142,4.860031,0.677088,0.159014,8.379029,3.596813,0.677052,0.770585,0.187269,7.932448,3.456606,0.770359,4.183011,4.089514,3.757388,0.079494,7.703948,0.484556,3.757321,0.336537,0.036451,5.112055,1.147107,0.336537,56.56861663,2551.667898,1524.9276,686.28,0.13006,0.1311,4.46493,3.21762,4.46493,H,9,18,18,sra
str_m2_o10_o29_pcu_sym.74,4.962879,0.14109,7.907493,0.679505,4.962611,0.791619,0.15859,7.215699,2.602106,0.791473,1.362126,0.404581,7.104734,3.73298,1.361224,4.17126,3.600753,5.080373,0.000184,7.545007,0.047202,5.080105,0.288951,0.004652,4.732091,0.541674,0.288042,89.08277367,1760.491511,1039.81336,1791.58,0.20405,0.2081,4.587,3.95289,4.587,HCO-Me,2,10,29,pcu
str_m2_o10_o29_pcu_sym.202,4.911379,0.010714,6.876418,0.045985,4.911044,0.740798,0.134836,7.122292,2.330123,0.740615,1.505995,0.447313,7.30366,3.85115,1.504868,4.170581,3.405384,4.432763,0.06673,7.330474,0.327015,4.432428,0.392797,0.008764,4.616882,0.456506,0.391572,57.17796351,1742.204968,955.82612,1740.09,0.21794,0.2392,5.68747,4.26022,5.68747,Et,2,10,29,pcu
str_m5_o10_o29_sra_sym.19,4.783957,0.072327,6.973994,0.31721,4.783387,0.615026,0.125048,6.670649,2.419245,0.614714,1.416992,0.483698,6.910325,4.157442,1.415073,4.168931,3.366965,5.035374,0.042238,6.369073,0.152748,5.034804,0.369743,0.025489,3.971513,0.72639,0.367444,69.00079677,3415.69236,1752.96064,2170.71,0.26442,0.3103,5.67631,5.19342,5.63709,H,9,10,29,sra
str_m5_o16_o16_sra_sym.30,5.124808,0.003342,9.354065,0.034974,5.12471,0.957267,0.363259,8.433349,5.853016,0.957213,1.745942,0.532219,8.785567,4.855878,1.745611,4.167541,3.378866,4.6197,0.058338,9.339701,0.374911,4.619602,0.276832,0.04225,5.355047,2.259835,0.276832,84.55120795,2417.547313,1493.01184,1043.82,0.13429,0.1309,4.20235,3.53002,4.17222,Pr,9,16,16,sra
str_m5_o1_o18_sra_sym.1,4.776267,0.167947,7.208212,0.677562,4.776065,0.619095,0.158625,7.158062,3.298438,0.618985,1.240031,0.431129,7.030803,4.318199,1.239353,4.157172,3.536236,4.648025,0.115261,7.019525,0.493837,4.647823,0.25486,0.004345,4.44695,0.108755,0.254279,92.40364645,2222.286822,1224.57552,1747.16,0.21143,0.2311,4.61211,3.69406,4.61211,,9,1,18,sra
str_m5_o18_o18_sra_sym.12,4.461046,0.098215,7.685209,0.496035,4.460979,0.303951,0.040498,8.007268,1.941516,0.303914,0.745166,0.22133,8.736704,4.70244,0.74494,4.157095,3.71588,4.251955,0.036516,7.360161,0.144202,4.251888,0.260931,0.003002,4.993306,0.687629,0.260931,82.56297131,2551.570151,1524.9276,687.11,0.13031,0.1313,4.46857,3.22955,4.46857,H,9,18,18,sra
str_m2_o10_o29_pcu_sym.1,4.869469,0.014408,6.873883,0.059176,4.8689,0.714839,0.143208,7.080418,2.547903,0.714528,1.525668,0.472719,6.866227,3.746328,1.523753,4.15463,3.343801,4.358207,0.00297,7.120344,0.025838,4.357638,0.476737,0.005926,4.057375,0.123072,0.474458,46.31816312,1737.683999,899.7198,2376.05,0.26808,0.3118,5.51376,5.11334,5.51376,,2,10,29,pcu
str_m5_o1_o18_sra_sym.46,4.878587,0.104988,8.158851,0.529172,4.878587,0.725053,0.205451,7.751297,3.984014,0.725053,1.348335,0.474787,7.32676,4.581929,1.348335,4.153534,3.530252,4.604984,0.028626,7.540635,0.147486,4.604984,0.233204,0.008528,4.7265,0.390672,0.233204,100.0493942,2220.228686,1284.63408,0,0.17734,0.1846,4.34083,2.79423,4.34083,NH2,9,1,18,sra
str_m5_o1_o18_sra_sym.36,5.20041,0.106425,9.789654,0.605472,5.20037,1.049804,0.316401,8.820005,4.88171,1.049782,1.221828,0.404517,8.471357,5.06587,1.221692,4.150606,3.978582,4.46278,0.199609,9.058493,1.206458,4.462739,0.134502,0.018119,4.156939,1.10843,0.134502,168.1121371,2215.559792,1448.65632,589.41,0.12268,0.113,3.98354,3.22499,3.87037,HCO,9,1,18,sra
str_m5_o17_o17_sra_sym.74,5.391225,0.102721,8.021999,0.450577,5.391126,1.246512,0.41882,9.1639,5.67328,1.246457,1.623211,0.571483,8.380189,5.322924,1.622876,4.144713,3.768014,4.470664,0.334426,10.082488,2.306016,4.470564,0.270158,0.018956,4.486587,0.99773,0.270158,83.84487695,3113.958138,1757.4164,712.95,0.15221,0.1624,5.07212,3.45055,5.07211,Pr,9,17,17,sra
str_m2_o10_o29_pcu_sym.227,4.887365,0.019339,7.473874,0.080682,4.886798,0.749551,0.143361,7.170915,2.467114,0.749241,1.485187,0.460176,6.993143,3.824977,1.483278,4.137814,3.402178,4.906916,0.013988,7.058194,0.074197,4.906349,0.43052,0.005564,4.137332,0.179114,0.428245,57.74809006,1737.732688,899.7198,2344.59,0.26795,0.3117,5.50435,5.10781,5.50435,H,2,10,29,pcu
str_m2_o10_o29_pcu_sym.221,4.88303,1.156181,6.867412,2.971637,4.882461,0.75285,0.125139,6.977146,2.079678,0.752539,1.394805,0.364535,6.999344,3.229593,1.39289,4.13018,3.488225,4.924226,0.015472,7.102979,0.063185,4.923657,0.369391,0.000595,4.188968,0.036506,0.36711,67.54201303,1737.681771,899.7198,2324.46,0.26791,0.3116,5.50769,5.10994,5.50769,H,2,10,29,pcu
str_m2_o10_o29_pcu_sym.144,4.985454,0.000146,6.721871,0.001102,4.984887,0.856631,0.158576,7.108252,2.364634,0.856321,1.517981,0.479578,6.902452,3.842822,1.516069,4.128823,3.467473,4.432711,0.01802,7.308692,0.100161,4.432143,0.444392,0.004515,3.935146,0.131336,0.442118,50.53886899,1737.593449,899.7198,2340.12,0.26791,0.3116,5.47578,5.09443,5.47578,H,2,10,29,pcu
str_m5_o4_o18_sra_sym.33,4.837974,0.193576,8.638735,1.027743,4.837974,0.716399,0.212786,7.830806,4.223322,0.716399,1.331303,0.486076,7.643752,4.982357,1.331303,4.121575,3.506671,4.161043,0.113676,8.305709,0.68158,4.161043,0.215859,0.006714,4.484161,0.531731,0.215859,97.66846815,2180.194931,1332.67028,0,0.15305,0.1508,4.63826,3.09617,4.03963,HCO,9,4,18,sra
str_m5_o18_o18_sra_sym.1,4.580016,0.179869,7.739193,0.838998,4.57995,0.458825,0.08064,7.994337,2.556501,0.458789,0.977961,0.341492,8.20033,5.153747,0.977736,4.121191,3.602055,3.774205,0.065115,8.452513,0.45265,3.774138,0.345029,0.01309,4.634159,0.378005,0.345029,55.4232794,2551.539437,1524.9276,689.49,0.13021,0.1312,4.46937,3.22983,4.46937,,9,18,18,sra
str_m5_o16_o16_sra_sym.39,4.658055,0.08801,7.465491,0.415691,4.657842,0.541003,0.121005,7.414333,2.994004,0.540886,1.09184,0.399885,7.055743,4.56714,1.091122,4.117052,3.566215,4.372259,0.088921,7.083277,0.440266,4.372045,0.336389,0.033671,4.493287,1.656898,0.33581,65.85464725,2417.346667,1324.69288,2053.76,0.22096,0.2428,4.61677,3.81311,4.61677,H,9,16,16,sra
str_m5_o10_o29_sra_sym.65,4.745164,0.059747,6.645183,0.24521,4.744595,0.636079,0.105729,6.976777,2.079555,0.635767,1.270432,0.427289,7.036217,4.180959,1.268516,4.109085,3.474732,4.237417,0.142644,7.434805,0.785118,4.236848,0.399077,0.009191,4.129966,0.593292,0.396791,53.79808775,3415.652528,1752.96064,2175.35,0.26434,0.3102,5.66925,5.19401,5.65045,H,9,10,29,sra
str_m2_o10_o29_pcu_sym.165,4.840566,0.010267,7.240534,0.052441,4.84016,0.73513,0.14284,7.177986,2.509128,0.734908,1.455836,0.405632,7.151294,3.527711,1.45447,4.105436,3.38473,4.969497,0.004299,6.437164,0.009457,4.969092,0.345214,0.003025,4.383921,0.194646,0.343665,72.93674301,1748.603307,927.77296,2130.22,0.23771,0.2698,5.33571,4.11317,5.10477,H-Me,2,10,29,pcu
str_m5_o16_o16_sra_sym.54,4.657258,0.009954,8.1021,0.056324,4.657129,0.563806,0.14878,7.526547,3.591577,0.563736,1.161827,0.435762,7.177916,4.76874,1.161392,4.093452,3.495431,3.97783,0.122351,8.453244,0.787432,3.977701,0.340055,0.011857,4.552914,0.316755,0.340055,59.26787922,2412.711296,1436.73328,1463,0.17545,0.1774,4.15976,3.47293,4.11459,HCO,9,16,16,sra
str_m5_o16_o16_sra_sym.10,4.568963,0.133925,7.590527,0.675765,4.568741,0.476234,0.092535,7.345436,2.574201,0.476113,1.009605,0.339564,7.214608,4.300957,1.008857,4.092729,3.559358,4.111847,0.145751,7.519381,0.792583,4.111625,0.334166,0.007988,4.488424,0.510818,0.333478,62.34433824,2433.957143,1388.69048,1581.12,0.20973,0.2214,4.80743,4.02949,4.80743,OH,9,16,16,sra
str_m3_o41_o41_fof_sym.26,4.803522,0.100849,7.677654,0.485619,4.802959,0.713789,0.193689,7.284073,3.561638,0.713481,1.337116,0.466905,6.79916,4.175203,1.33522,4.089733,3.466406,4.340415,0.173203,6.948199,0.782967,4.339852,0.317272,0.022941,4.259305,0.603345,0.314756,69.31414055,3717.389716,2482.0344,1201.25,0.22678,0.2045,8.39607,4.32017,8.39607,NH2,3,41,41,fof
str_m2_o10_o29_pcu_sym.143,4.914713,0.059576,6.734351,0.242321,4.914143,0.833139,0.146427,6.962238,2.193712,0.832828,1.40689,0.427047,7.1189,3.823494,1.404973,4.081574,3.507823,4.760005,0.056901,7.524839,0.280136,4.759436,0.361613,0.001496,3.964928,0.055549,0.359333,66.69383752,1737.72757,899.7198,2331.78,0.26798,0.3117,5.4951,5.10413,5.4951,H,2,10,29,pcu
str_m5_o1_o18_sra_sym.13,4.714797,0.106499,8.355567,0.589049,4.714797,0.637873,0.158425,7.263337,3.249593,0.637873,0.98933,0.298175,7.462657,4.003634,0.98933,4.076924,3.725467,4.234472,0.074257,7.19914,0.357036,4.234472,0.243805,0.040244,4.580331,2.3796,0.243805,87.99925405,2216.325038,1336.61592,0,0.16657,0.1663,4.54645,2.89602,4.54645,H-HCO,9,1,18,sra
str_m5_o4_o18_sra_sym.20,4.873502,0.132499,8.192547,0.662873,4.873502,0.796717,0.256382,7.807029,4.560313,0.796717,1.29005,0.479208,7.783781,5.173061,1.29005,4.076785,3.583452,3.961866,0.007589,7.135001,0.042156,3.961866,0.234087,0.020013,4.937197,1.136454,0.234087,85.75211097,2181.269242,1326.669,0,0.16141,0.1598,4.70677,2.8522,4.3299,H-CN,9,4,18,sra
str_m3_o41_o41_fof_sym.35,4.665505,0.025392,7.291813,0.107446,4.664916,0.590652,0.145125,6.66151,2.919033,0.590329,1.058943,0.377332,6.856334,4.301323,1.056957,4.074853,3.606562,4.205958,0.204992,7.663085,1.13727,4.205368,0.300769,0.008939,4.519567,1.28567,0.298158,70.85233917,3743.17877,2511.9744,1365.11,0.25354,0.2275,7.83468,3.62633,7.83468,SO3H,3,41,41,fof
str_m5_o4_o18_sra_sym.80,4.870724,0.000575,8.230491,0.015107,4.870583,0.804364,0.218267,7.63619,3.752735,0.804286,1.247772,0.441158,7.516541,4.73471,1.247294,4.06636,3.622952,4.509597,0.133226,8.221305,0.738125,4.509455,0.238442,0.007481,4.688735,0.494982,0.238093,95.82466512,2184.376807,1276.65008,1362,0.17882,0.1843,4.48622,3.60018,4.48622,H,9,4,18,sra
str_m2_o10_o29_pcu_sym.158,4.712311,0.030155,7.073892,0.119857,4.711787,0.64925,0.124177,7.062245,2.425545,0.648963,1.27144,0.322467,6.783572,3.02464,1.269675,4.063061,3.440871,3.859916,0.003019,7.633289,0.018531,3.859392,0.455502,0.001344,4.001993,0.027607,0.453422,42.93484493,1736.664277,931.7186,2090.04,0.25195,0.2828,5.48851,5.10111,5.48851,OH,2,10,29,pcu
str_m2_o10_o29_pcu_sym.20,4.63741,1.41363,7.04302,3.932836,4.636877,0.579886,0.105548,6.891482,2.246101,0.579594,1.264408,0.349259,6.929111,3.374562,1.262612,4.057524,3.373002,4.166593,0.063108,7.803112,0.384665,4.16606,0.444703,0.012497,4.062885,2.050024,0.442567,47.47154363,1739.461125,935.700726,2250.42,0.26401,0.2956,5.44401,4.90662,5.44401,H-F,2,10,29,pcu
str_m3_o10_o29_pcu_sym.208,4.659789,0.045541,8.643444,0.250757,4.659631,0.603899,0.10038,7.611566,2.290585,0.603813,1.142986,0.292857,7.797988,3.575447,1.142454,4.05589,3.516803,4.115906,0.013392,7.356832,0.069078,4.115748,0.291763,0.012649,5.007032,0.492011,0.291233,71.47555973,1819.855159,1085.609,1045.16,0.16251,0.1641,4.58138,3.73943,4.58138,Ph-NH2,3,10,29,pcu
str_m2_o10_o29_pcu_sym.17,4.882409,0.02255,7.86941,0.098451,4.882059,0.83898,0.208373,7.152132,3.194354,0.838789,1.244626,0.383054,6.959731,3.778763,1.243447,4.043429,3.637783,4.584664,0.064467,7.698474,0.330902,4.584314,0.378746,0.001071,4.615253,0.141202,0.377463,61.33124645,1735.649785,963.753886,1856.46,0.23311,0.2528,5.27395,3.83831,5.27395,Me-F,2,10,29,pcu
str_m3_o10_o29_pcu_sym.49,4.383382,0.069617,8.622509,0.403826,4.383382,0.340741,0.037166,7.882489,1.562179,0.340741,0.656118,0.115315,8.471292,2.689228,0.656118,4.042641,3.727264,3.267068,0.957678,7.952538,4.315091,3.267068,0.281111,0.082402,4.689892,2.402327,0.281111,58.88472715,1805.512436,1079.59804,0,0.13102,0.132,4.29975,3.14385,3.86677,OEt-H,3,10,29,pcu
str_m5_o10_o29_sra_sym.1,4.690967,0.066093,6.661936,0.269446,4.690398,0.652525,0.12679,6.82042,2.370173,0.652214,1.190506,0.363896,6.933548,3.736954,1.188592,4.038442,3.500461,4.564566,0.019145,5.841953,0.057363,4.563998,0.394972,0.002877,4.080077,0.121837,0.392685,58.55385799,3415.611324,1752.96064,2160.8,0.26431,0.3101,5.67018,5.19733,5.66183,,9,10,29,sra
str_m2_o10_o29_pcu_sym.47,4.745199,0.037806,7.143535,0.167891,4.744753,0.710452,0.120362,7.532529,2.307853,0.710208,1.274822,0.372962,6.796634,3.496627,1.273321,4.034747,3.470377,4.40492,0.037894,7.81805,0.196151,4.404474,0.349152,0.007865,4.378692,0.236743,0.34733,63.92133321,1726.19462,955.82612,1682.6,0.22517,0.2449,5.47131,5.16256,5.47131,Et,2,10,29,pcu
